trial,batch_size,hidden_dim,lr,num_epochs,epoch,train_acc,test_acc,loss
0,128,256,0.007001886174764925,46,1,0.9789749296327813,0.9864900246111955,29.528079397045076
0,128,256,0.007001886174764925,46,2,0.9859527394121883,0.9880085877362936,19.263899119905545
0,128,256,0.007001886174764925,46,3,0.9879033841722852,0.9885845944389171,16.49544130661525
0,128,256,0.007001886174764925,46,4,0.9894612816652484,0.9902078860554013,14.45667270408012
0,128,256,0.007001886174764925,46,5,0.9892256333049683,0.9913075352149552,15.220056605467107
0,128,256,0.007001886174764925,46,6,0.9912941022452052,0.9904173430381735,12.501073496547178
0,128,256,0.007001886174764925,46,7,0.9913988348497742,0.9925119128658951,12.762800538504962
0,128,256,0.007001886174764925,46,8,0.992577076651175,0.9942922972194586,11.348055825385018
0,128,256,0.007001886174764925,46,9,0.9923807030176082,0.9919359061632718,10.982906280987663
0,128,256,0.007001886174764925,46,10,0.9928650913137396,0.9941875687280725,10.435368427133653
0,128,256,0.007001886174764925,46,11,0.9925901682267461,0.993611562025449,10.681876826940425
0,128,256,0.007001886174764925,46,12,0.9935196700922956,0.9938210190082212,9.59665139799074
0,128,256,0.007001886174764925,46,13,0.9937945931792891,0.9912551709692622,9.274260027428681
0,128,256,0.007001886174764925,46,14,0.9931531059763042,0.9945017542022307,9.905070992841502
0,128,256,0.007001886174764925,46,15,0.9941349741441382,0.9943446614651515,9.205131453294598
0,128,256,0.007001886174764925,46,16,0.9940040583884271,0.9893176938786197,9.04304339411101
0,128,256,0.007001886174764925,46,17,0.9938862342082869,0.9918835419175787,9.2220965121669
0,128,256,0.007001886174764925,46,18,0.9940302415395693,0.9934544692883699,8.691076527924452
0,128,256,0.007001886174764925,46,19,0.9939647836617137,0.994920668167775,9.069967343635653
0,128,256,0.007001886174764925,46,20,0.9943444393532762,0.9947112111850028,8.567695759760682
0,128,256,0.007001886174764925,46,21,0.9939909668128559,0.9950777609048541,8.794888097516377
0,128,256,0.007001886174764925,46,22,0.9939909668128559,0.9952872178876263,8.647670547536563
0,128,256,0.007001886174764925,46,23,0.9945800877135563,0.9949730324134681,8.101604817278712
0,128,256,0.007001886174764925,46,24,0.9940040583884271,0.9934544692883699,9.050591348110174
0,128,256,0.007001886174764925,46,25,0.9944622635334163,0.9946588469393098,8.237563209200061
0,128,256,0.007001886174764925,46,26,0.9945408129868429,0.9947112111850028,8.660085508903649
0,128,256,0.007001886174764925,46,27,0.9949073771028343,0.9943970257108447,7.979905160267663
0,128,256,0.007001886174764925,46,28,0.9944753551089873,0.9946588469393098,8.214690937598789
1,128,256,0.00016068208602339475,11,1,0.9646134712312627,0.9852856469602556,71.53252593474463
1,128,256,0.00016068208602339475,11,2,0.9853505269359167,0.9865423888568885,22.142565789166838
1,128,256,0.00016068208602339475,11,3,0.9870393401845912,0.9868042100853537,19.556973609374836
1,128,256,0.00016068208602339475,11,4,0.9880342999279963,0.988427501701838,18.041634044377133
1,128,256,0.00016068208602339475,11,5,0.9891209007003993,0.9890035084044614,16.27696883410681
1,128,256,0.00016068208602339475,11,6,0.9898540289323821,0.9905220715295596,15.079865893814713
1,128,256,0.00016068208602339475,11,7,0.990508607710938,0.9913075352149552,14.35610860818997
1,128,256,0.00016068208602339475,11,8,0.9912286443673496,0.99104571398649,13.068080337368883
1,128,256,0.00016068208602339475,11,9,0.9914512011520586,0.9921453631460438,12.7597448892775
1,128,256,0.00016068208602339475,11,10,0.992367611442037,0.9914646279520344,11.752482044917997
1,128,256,0.00016068208602339475,11,11,0.9925639850756038,0.9899460648269361,11.503448173985817
2,32,128,0.000520028254671174,39,1,0.9793545853243438,0.987118395559512,138.03517519455636
2,32,128,0.000520028254671174,39,2,0.9872880801204424,0.9904173430381735,75.69645533265793
2,32,128,0.000520028254671174,39,3,0.9893041827583949,0.9900507933183222,63.02146977311713
2,32,128,0.000520028254671174,39,4,0.9904038751063691,0.9914122637063413,54.55107659729947
2,32,128,0.000520028254671174,39,5,0.9918046736924789,0.988427501701838,47.963452680110095
2,32,128,0.000520028254671174,39,6,0.992040322052759,0.9938210190082212,46.0895471927729
2,32,128,0.000520028254671174,39,7,0.993022190220593,0.9941875687280725,42.20381264749699
2,32,128,0.000520028254671174,39,8,0.9928519997381685,0.9931926480599047,42.47501818128541
2,32,128,0.000520028254671174,39,9,0.9931400144007331,0.9938210190082212,40.231042767475515
2,32,128,0.000520028254671174,39,10,0.9933102048831577,0.9919882704089648,38.583883957296905
2,32,128,0.000520028254671174,39,11,0.9935065785167245,0.9915693564434205,37.89900555458573
2,32,128,0.000520028254671174,39,12,0.9938731426327159,0.9937162905168351,36.00121080476424
2,32,128,0.000520028254671174,39,13,0.9940171499639981,0.9922500916374299,35.62540288224155
3,32,128,0.00015892545332740272,44,1,0.9720363945800877,0.9850238257317904,198.63744803797454
3,32,128,0.00015892545332740272,44,2,0.9862407540747529,0.9876944022621355,82.43193836012506
3,32,128,0.00015892545332740272,44,3,0.9880212083524252,0.9888987799130754,71.55090639354285
3,32,128,0.00015892545332740272,44,4,0.9891601754271127,0.9904173430381735,65.16168528112757
3,32,128,0.00015892545332740272,44,5,0.9902991425018001,0.9913075352149552,59.09307236672248
3,32,128,0.00015892545332740272,44,6,0.9908882634025005,0.992197727391737,54.2251736161561
3,32,128,0.00015892545332740272,44,7,0.9917130326634811,0.9926166413572812,51.506025016318745
3,32,128,0.00015892545332740272,44,8,0.9920926883550435,0.9934544692883699,48.22545441236798
3,32,128,0.00015892545332740272,44,9,0.9925247103488904,0.9915169921977274,46.14209895997192
